conosciuto	ignoto
certo	incerto
sicuro	insicuro
piacevole	spiacevole
morale	immorale
onesto	disonesto
accettabile	inaccettabile
fortunato	sfortunato
possibilmente	impossibilmente
confortevole	scomodo
produttivo	improduttivo
consapevole	inconsapevole
logico	illogico
razionale	irrazionale
efficiente	inefficiente
informato	disinformato
responsabile	irresponsabile
impressionante	insignificante
ragionevole	irragionevole
probabile	improbabile
possibile	impossibile
chiaro	oscuro
consistente	inconsistente
deciso	indeciso
