velký	největší
tmavý	nejtmavší
černý	nejčernější
ošklivý	nejošklivější
špatný	nejhorší
sladký	nejsladší
mokrý	nejmokřejší
studený	nejstudenější
jemný	nejjemnější
složitý	nejsložitější
těžký	nejtěžší
dlouhý	nejdelší
slabý	nejslabší
měkký	nejměkčí
nízký	nejnižší
tenký	nejtenčí
úzký	nejužší
pomalý	nejpomalejší
plný	nejplnější
špinavý	nejšpinavější
vzdálený	nejvzdálenější
nový	nejnovější
hloupý	nejhloupější
zaoblený	nejzaoblenější
pilný	nejpilnější
pasivní	nejpasivnější
zábavný	nejzábavnější
šťastný	nejšťastnější
zbabělý	nejzbabělejší
chudý	nejchudší
mělký	nejmělčí
zdravý	nejzdravější
ošklivý	nejošklivější
levný	nejlevnější
kyselý	nejkyselejší
křivý	nejkřivější
líný	nejlínější
teplý	nejteplejší
studený	nejstudenější
ženský	nejženštější
