lebendig	lebendigste
schlicht	schlichteste
kalt	kälteste
bedeutend	bedeutendste
lecker	leckerste
hell	hellste
alt	älteste
einfach	einfachste
hoch	höchste
süß	süßeste
stark	stärkste
niedrig	niedrigste
heiß	heißeste
klug	klügste
seltsam	seltsamste
groß	größste
schwach	schwächste
klein	kleinste
schlecht	schlechteste
weit	weiteste
jung	jüngste
dunkel	dunkelste
warm	wärmste
langsam	langsamste
lang	längste
scharf	schärfste
schwer	schwerste
glücklich	glücklichste
merkwürdig	merkwürdigste
kurz	kürzeste
schnell	schnellste
gut	beste
kühl	kühlste
reichlich	reichlichste
