santo	santísimo
mucho	muchísimo
mismo	mismísimo
alto	altísimo
acre	acérrimo
importante	importantísimo
excelente	excelentísimo
ilustre	ilustrísimo
claro	clarísimo
grave	gravísimo
bello	bellísimo
largo	larguísimo
grande	grandísimo
campeon	campeonísimo
duro	durísimo
famoso	famosísimo
rico	riquísimo
breve	brevísimo
bueno	buenísimo
completo	completísimo
nuevo	novísimo
elevado	elevadísimo
bajo	bajísimo
célebre	celebérrimo
interesante	interesantísimo
valioso	valiosísimo
personal	personalísimo
raro	rarísimo
rápido	rapidísimo
primero	primerísimo
pequeño	pequeñísimo
extenso	extensísimo
destacado	destacadísimo
feliz	felicísimo
conocido	conocidísimo
puro	purísimo
malo	malísimo
dulce	dulcísimo
potente	potentísimo
escaso	escasísimo
