luminoso	luminosissimo
scuro	scurissimo
piccolo	piccolissimo
intelligente	intelligentissimo
debole	debolissimo
buffo	buffissimo
semplice	semplicissimo
buono	ottimo
forte	fortissimo
giovane	giovanissimo
gustoso	gustosissimo
cattivo	pessimo
caldo	caldissimo
dolce	dolcissimo
affilato	affilatissimo
fresco	freschissimo
vecchio	vecchissimo
lento	lentissimo
strano	stranissimo
breve	brevissimo
lungo	lunghissimo
vantaggioso	vantaggiosissimo
alto	altissimo
freddo	freddissimo
facile	facilissimo
basso	bassissimo
veloce	velocissimo
grande	grandissimo
largo	larghissimo
