osel	osli
barva	barvy
dolar	dolary
prase	prasata
lev	lvi
počítač	počítače
myš	myši
oblačnost	oblačnosti
kůn	koně
oko	oči
opice	opice
stroj	stroje
prst	prsty
slon	sloni
meloun	melouny
koza	kozy
pták	ptáky
krysa	krysy
orel	orli
žena	ženy
banán	banány
hruška	hrušky
ruka	ruky
had	hadi
dítě	děti
muž	muži
budova	budovy
cibule	cibule
kráva	krávy
auto	auta
pes	psi
kočka	kočky
mango	manga
láhev	láhve
ananas	ananasy
sen	sny
silnice	silnice
právo	práva
místo	místa
slovo	slova
dílo	díla
procento	procenta
číslo	čísla
auto	auta
pravidlo	pravidla
faktum	fakta
jméno	jména
středisko	střediska
letadlo	letadla
sto	sta
zavazadlo	zavazadla
desetiletí	desetiletí
periodikum	periodika
tělo	těla
tvrzení	tvrzení
vozidlo	vozidla
město	města
vojsko	vojska
hledisko	hlediska
vévodství	vévodství
strašidlo	strašidla
zvíře	zvířata
družstvo	družstva
riziko	rizika
téma	témata
kritérium	kritéria
okno	okna
stanovisko	stanoviska
světlo	světla
sako	saka
měřítko	měřítka
jídlo	jídla
eso	esa
křeslo	křesla
