Weg	Wege
Krokodil	Krokodile
Maus	Mäuse
Gerät	Geräte
Traum	Träume
Ratte	Ratten
Kuh	Kühe
Banane	Bananen
Elefant	Elefanten
Ziege	Ziegen
Zwiebel	Zwiebeln
Auto	Autos
Schwein	Schweine
Haus	Häuser
Auge	Augen
Hand	Hände
Frau	Frauen
Wolke	Wolken
Birne	Birnen
Melone	Melonen
Affe	Affen
Kind	Kinder
Schlange	Schlangen
Farbe	Farben
Katze	Katzen
Mango	Mangos
Flasche	Flaschen
Löwe	Löwen
Hund	Hunde
Mann	Männer
Vogel	Vögel
Eule	Eulen
Ananas	Ananasse
Dollar	Dollars
Pferd	Pferde
Fuß	Füße
Maschine	Maschinen
Mann	Männer
Gut	Güter
Tag	Tage
Recht	Rechte
General	Generäle
Hohe	Höhen
Krieg	Kriege
Kopf	Köpfe
Nacht	Nächte
Bestellung	Bestellungen
Kraft	Kräfte
Entwicklung	Entwicklungen
Dienstleistung	Dienstleistungen
Aktion	Aktionen
Einheimische	Einheimischen
Tod	Todesfälle
Erfahrung	Erfahrungen
Frage	Fragen
Junge	Jungs
Front	Fronten
Mädchen	Mädchen
Mutter	Mütter
Kind	Kinder
Typ	Typen
Grund	Gründe
Vater	Väter
Gewerkschaft	Gewerkschaften
Tote	Toten
Tief	Tiefs
Sohn	Söhne
Anfang	Anfänge
Antwort	Antworten
Unterschied	Unterschiede
Ergänzung	Ergänzungen
Farbe	Farben
Mitglied	Mitglieder
Freund	Freunde
Verband	Verbände
Ehemann	Ehemänner
Angst	Ängste
Wahrheits	Wahrheiten
Entscheidung	Entscheidungen
Verantwortlichkeit	Verantwortlichkeiten
Aktivität	Aktivitäten
Wichtigkeit	Wichtigkeiten
Existenz	Existenzen
Vereinbarung	Vereinbarungen
Forderung	Forderungen
Lieferung	Lieferungen
Konstruktion	Konstruktionen
Quelle	Quellen
Erfolg	Erfolge
Ausfall	Ausfälle
Schmerz	Schmerzen
König	Könige
Möglichkeit	Möglichkeiten
Verlust	Verluste
Verteilung	Verteilungen
Öffnung	Öffnungen
Kapazität	Kapazitäten
Dame	Damen
Realität	Realitäten
Anode	Anoden
Schwierigkeit	Schwierigkeiten
Fähigkeit	Fähigkeiten
Vorteil	Vorteile
Bruder	Brüder
Tochter	Töchter
Schönheit	Schönheiten
Fuß	Füße
Liberal	Liberalen
Bedeutung	Bedeutungen
Wettbewerb	Wettbewerbe
Standort	Standorte
