donkey	donkeys
color	colors
dollar	dollars
pig	pigs
lion	lions
computer	computers
mouse	mice
cloud	clouds
horse	horses
eye	eyes
monkey	monkeys
machine	machines
finger	fingers
elephant	elephants
melon	melons
goat	goats
bird	birds
rat	rats
eagle	eagles
woman	women
banana	bananas
pear	pears
hand	hands
snake	snakes
child	children
man	men
building	buildings
onion	onions
cow	cows
car	cars
dog	dogs
cat	cats
mango	mangoes
bottle	bottles
pineapple	pineapples
dream	dreams
road	roads
man	men
good	goods
day	days
right	rights
general	generals
high	highs
war	wars
head	heads
night	nights
order	orders
power	powers
development	developments
service	services
action	actions
local	locals
death	deaths
experience	experiences
question	questions
boy	boys
woman	women
front	fronts
girl	girls
mother	mothers
child	children
type	types
ground	grounds
father	fathers
union	unions
casualty	casualties
low	lows
son	sons
beginning	beginnings
answer	answers
difference	differences
addition	additions
color	colors
member	members
friend	friends
association	associations
husband	husbands
fear	fears
truth	truths
decision	decisions
responsibility	responsibilities
activity	activities
importance	importances
existence	existences
agreement	agreements
requirement	requirements
supply	supplies
construction	constructions
source	sources
success	successes
failure	failures
pain	pains
king	kings
possibility	possibilities
loss	losses
distribution	distributions
opening	openings
capacity	capacities
Lady	Ladies
reality	realities
anode	anodes
difficulty	difficulties
ability	abilities
advantage	advantages
brother	brothers
daughter	daughters
beauty	beauties
foot	feet
liberal	liberals
significance	significances
competition	competitions
location	locations
