caballo	caballos
serpiente	serpientes
edificio	edificios
computadora	computadoras
cabra	cabras
ojo	ojos
pájaro	pájaros
elefante	elefantes
color	colores
piña	piñas
auto	autos
sueña	sueños
cerdo	cerdos
vaca	vacas
melón	melones
dedo	dedos
hermano	hermanos
pera	peras
burro	burros
cebolla	cebollas
carretera	carreteras
dólar	dólares
águila	águilas
mango	mangos
gato	gatos
niño	niños
león	leones
hombre	hombres
nube	nubes
perro	perros
botella	botellas
mano	manos
plátano	plátanos
mono	monos
ratón	ratones
máquina	máquinas
rata	ratas
