cane	cani
colore	colori
aquila	aquile
melone	meloni
maiale	maiali
occhio	occhi
uomo	uomini
pera	pere
bottiglia	bottiglie
automobile	automobili
serpente	serpenti
nuvola	nuvole
bambino	bambini
palazzo	palazzi
capra	capre
banana	banane
ratto	ratti
asino	asini
sogno	sogni
macchina	macchine
mucca	mucche
calcolatore	calcolatori
dito	dita
topo	topi
elefante	elefanti
gatto	gatti
strada	strade
uccello	uccelli
mango	manghi
donna	donne
dollaro	dollari
cavallo	cavalli
scimmia	scimmie
cipolla	cipolle
leone	leoni
mano	mani
