Polen	polnisch
Malta	maltesisch
Peru	peruanisch
Mexiko	mexikanisch
Slowakei	slowakisch
Israel	israelisch
Österreich	österreichisch
Irland	irisch
Frankreich	französisch
Italien	italienisch
Spanien	spanisch
China	chinesisch
Chile	chilenisch
Ägypten	ägyptisch
Argentinien	argentinisch
Schweiz	schweizer
Ukraine	ukrainisch
Moldawien	moldauisch
Albanien	albanisch
Kolumbien	kolumbianisch
Island	isländisch
Deutschland	deutsch
Mazedonien	mazedonisch
Griechenland	griechisch
Norwegen	norwegisch
Korea	koreanisch
Thailand	thailändisch
Niederlande	niederländisch
Kambodscha	kambodschanisch
Bulgarien	bulgarisch
England	englisch
Portugal	portugiesisch
Schweden	schwedisch
Brasilien	brasilianisch
Australien	australisch
Indien	indisch
Russland	russisch
Weißrussland	weißrussisch
Japan	japanisch
Kroatien	kroatisch
Dänemark	dänisch
