Brazil	Brazilian
Italy	Italian
Peru	Peruvian
Cambodia	Cambodian
France	French
Slovakia	Slovakian
Ireland	Irish
Argentina	Argentinean
Norway	Norwegian
Israel	Israeli
Australia	Australian
Korea	Korean
Iceland	Icelandic
China	Chinese
Chile	Chilean
Germany	German
Spain	Spanish
Ukraine	Ukrainian
Netherlands	Dutch
Denmark	Danish
Poland	Polish
Macedonia	Macedonian
Moldova	Moldovan
Sweden	Swedish
Belarus	Belorussian
Croatia	Croatian
Malta	Maltese
Thailand	Thai
Switzerland	Swiss
Russia	Russian
Bulgaria	Bulgarian
Albania	Albanian
England	English
Portugal	Portuguese
Mexico	Mexican
Egypt	Egyptian
India	Indian
Austria	Austrian
Colombia	Colombian
Greece	Greek
Japan	Japanese
