Francia	Francés
Corea	Coreano
Moldavia	Moldavo
Tailandia	Tailandés
Austria	Austriaco
Camboya	Camboyano
Perú	Peruano
Malta	Maltés
México	Mexicano
Bielorrusia	Bielorruso
Rusia	Ruso
Chile	Chileno
Suecia	Sueco
Japón	Japonés
Grecia	Griego
Croacia	Croata
Suiza	suizo
Noruega	Noruego
Irlanda	Irlandés
Macedonia	Macedonio
Italia	Italiano
Argentina	Argentino
Alemania	Alemán
Ucrania	Ucranio
Albania	Albanés
Egipto	Egipcio
China	Chino
Eslovaquia	Eslovaco
Colombia	Colombiano
España	Español
Portugal	Portugués
Dinamarca	Danés
Polonia	polaco
Australia	Australiano
Islandia	Islandés
Inglaterra	Inglés
Bulgaria	Búlgaro
Brasil	Brasileño
Israel	Israelí
India	Indio
