Irlanda	Irlandese
Cile	Cileno
Egitto	Egiziano
Israele	Israeliano
Cina	Cinese
Italia	Italiano
Peru	Peruviano
Grecia	Greco
Argentina	Argentino
Thailandia	Thailandese
Australia	Australiano
Cambogia	Cambogiano
Danimarca	Danese
Francia	Francese
Norvegia	Norvegese
Inghilterra	Inglese
Bielorussia	Bielorusso
Spagna	Spagnolo
Ucraina	Ucraino
Portogallo	Portoghese
Croazia	Croato
Germania	Tedesco
Svezia	Svedese
Corea	Coreano
Messico	Messicano
Svizzera	Svizzero
Islanda	Islandese
Macedonia	Macedone
Moldavia	Moldavo
Malta	Maltese
Russia	Russo
Bulgaria	Bulgaro
Albania	Albanese
Slovacchia	Slovacco
Brasile	Brasiliano
India	Indiano
Polonia	Polacco
Austria	Austriaco
Olanda	Olandese
Colombia	Colombiano
Giappone	Giapponese
