hablar	hablado
tener	tenido
vivir	vivido
atraer	atraído
caer	caído
creer	creído
leer	leído
oír	oído
poseer	 poseído 
reír	reído
sonreír	sonreído
traer	traído
atender	atendido
bendecir	bendecido
confundir	confundido
corromper	corrompido
despertar	despertado
maldecir	maldecido
presumir	presumido
suspender	suspendido
abrir	abierto
decir	dicho
escribir	escrito
hacer	hecho
ver	visto
morir	muerto
absolver	absuelto
poner	puesto
cubrir	cubierto
romper	roto
resolver	resuelto
satisfacer	satisfecho
volver	vuelto
descubrir	descubierto
revolver	revuelto
devolver	devuelto
desenvolver	desenvuelto
deshacer	deshecho
rehacer	rehecho
