programmare	programmato
correre	corso
giocare	giocato
predire	predetto
muovere	mosso
vedere	visto
urlare	urlato
descrivere	descritto
mescolare	mescolato
verificare	verificato
implementare	implementato
calare	calato
generare	generato
pensare	pensato
cantare	cantato
volare	volato
leggere	letto
danzare	danzato
camminare	camminato
sedere	seduto
ascoltare	ascoltato
rallentare	rallentato
nuotare	nuotato
sparire	sparito
migliorare	migliorato
dire	detto
saltare	saltato
aumentare	aumentato
inventare	inventato
scrivere	scritto
scoprire	scoperto
guardare	guardato
andare	andato
